personid,appyear,gpa,stem,schoolsel,major1,major2,minor,major1group,major2group,minorgroup,undergrad_uni,essay1length,essay2length,essay3length,essayuniquewords,essayssentiment,signupdate,starteddate,appdeadline,submitteddate,attendedevent,completedadm
8140,2015-16,3.9,0,more_selective,other,none,none,other,none,none,other,78,43,31,90,0.312970586,94,42,September,4,0,1
8141,2015-16,3.02,0,selective,other,none,psychology,other,none,social sciences,other,254,215,263,328,0.422747252,94,42,September,2,0,1
8142,2015-16,3.75,0,selective,history,none,other,humanities,none,other,other,294,293,294,397,-0.157159103,73,7,August,7,0,1
8144,2015-16,3.94,0,most_selective,other,history,none,other,humanities,none,other,290,241,269,427,0.256160438,136,76,October,0,0,1
8145,2015-16,2.84,1,most_selective,biology,none,none,stem,none,none,school 1337,173,153,54,196,0.092567644,136,63,October,33,0,1
8146,2015-16,2.55,0,unknown,sociology,none,none,social sciences,none,none,other,71,193,192,237,0.112177963,73,20,August,20,0,1
8147,2015-16,3.63,0,less_selective,history,none,philosophy,humanities,none,humanities,other,295,294,295,397,-0.342472762,73,21,August,0,0,1
8149,2015-16,2.7,0,less_selective,economics,none,none,social sciences,none,none,other,90,41,100,133,0.890205561,73,1,August,1,0,1
8150,2015-16,3.21594481,0,unknown,other,none,english,other,none,humanities,foreign university,295,63,69,203,0.683398523,136,0,October,0,0,1
8151,2015-16,3.43,1,unknown,other,none,none,other,none,none,other,183,242,194,275,-0.166405498,94,22,September,1,0,0
8152,2015-16,3.27,0,more_selective,business,none,none,business,none,none,school 663,262,245,207,341,-0.008008515,15,15,October,2,1,0
8153,2015-16,3.1,0,less_selective,psychology,none,none,social sciences,none,none,other,82,78,101,151,0.165124044,3,3,August,3,0,0
8155,2015-16,3.93,0,unknown,education (elementary),none,none,education,none,none,other,298,293,261,408,0.086232846,73,18,August,15,0,1
8156,2015-16,3,0,unknown,education (general),none,business,education,none,business,other,62,47,20,85,-0.042183299,73,4,August,4,0,1
8157,2015-16,2.62,0,more_selective,history,none,other,humanities,none,other,other,291,279,281,351,-0.153472714,73,5,August,2,0,1
8158,2015-16,3.22,0,selective,education early childhood,none,none,education,none,none,school 1653,294,220,258,313,-0.085136042,72,21,August,0,0,1
8159,2015-16,3.29,1,unknown,other,history,other,other,humanities,other,other,216,136,260,281,-0.007584659,73,18,August,7,0,1
8160,2015-16,3.47,0,more_selective,journalism,none,none,business,none,none,school 1170,281,267,148,333,0.417515453,73,21,August,21,0,1
8163,2015-16,3.08,0,selective,other,none,other,other,none,other,other,298,297,299,384,-0.057131776,94,29,September,27,0,1
8165,2015-16,2.76,0,unknown,other,none,business,other,none,business,other,74,89,109,146,-0.02854254,73,0,August,0,0,1
8166,2015-16,2.9,0,least_selective,english,none,none,humanities,none,none,other us university,69,49,43,112,-0.776085263,93,4,September,4,0,1
8167,2015-16,2.98,1,more_selective,other,other,other,other,other,other,other,291,291,281,355,0.027430653,72,15,August,0,0,1
8168,2015-16,3.08,0,selective,english literature,none,other,humanities,none,other,other,294,294,254,450,-0.106045535,72,17,August,2,0,1
8169,2015-16,3.43,0,selective,other,none,other,other,none,other,other,95,59,86,128,-0.454947513,8,8,October,8,0,0
8171,2015-16,2.92,0,selective,other,none,none,other,none,none,other,207,200,284,306,0.143014523,2,2,October,0,0,0
8172,2015-16,2.72,0,selective,english literature,none,none,humanities,none,none,other,288,243,264,372,-0.185623047,47,47,October,2,0,1
8173,2015-16,2.5,0,selective,other,other,history,other,other,humanities,other,84,51,66,112,0.330310452,11,11,October,1,0,1
8174,2015-16,2.6,0,selective,communications,none,marketing,business,none,business,other,295,296,238,352,0.153759979,11,11,October,0,0,1
8175,2015-16,3,0,selective,english literature,none,none,humanities,none,none,other,238,167,298,324,-0.01470662,1,1,October,0,0,1
8176,2015-16,2.68,0,selective,other,none,none,other,none,none,other,299,293,299,372,0.434174619,57,21,August,9,0,1
8177,2015-16,2.2,0,selective,other,other,other,other,other,other,other,298,69,40,204,-0.269971193,4,4,September,0,0,1
8179,2015-16,2.7,0,selective,english,none,history,humanities,none,humanities,other,229,260,165,306,-0.065054385,32,32,October,32,0,1
8180,2015-16,3.69,0,selective,psychology,none,other,social sciences,none,other,other,171,161,156,241,0.536714292,2,2,October,0,0,0
8181,2015-16,2.65,1,selective,biology,none,chemistry,stem,none,stem,other,286,190,228,294,0.487416948,83,83,October,0,0,1
8182,2015-16,3.43,1,more_selective,other,none,psychology,other,none,social sciences,other,164,226,176,290,-0.129691378,93,39,September,3,0,0
8183,2015-16,3.41,0,less_selective,english,none,none,humanities,none,none,other,196,191,265,306,0.283852402,72,21,August,-1,1,1
8184,2015-16,3.51,1,least_selective,other,none,none,other,none,none,other us university,153,78,96,175,0.632085455,93,28,September,5,0,0
8185,2015-16,2.7,0,least_selective,criminal justice,other,none,social sciences,other,none,other us university,225,51,116,207,0.137279254,135,44,October,0,0,0
8186,2015-16,3.65,0,least_selective,political science,criminal justice,none,social sciences,social sciences,none,other,24,49,64,90,0.255004013,72,17,August,17,0,1
8187,2015-16,3.54,0,unknown,english literature,none,other,humanities,none,other,other,233,263,279,368,0.384362683,72,21,August,1,0,1
8188,2015-16,2.91,0,selective,other,none,none,other,none,none,other,293,287,277,306,0.207703958,72,19,August,1,0,1
8189,2015-16,3.37,0,more_selective,english,political science,history,humanities,social sciences,humanities,other,292,275,276,387,0.437200493,72,19,August,4,0,1
8190,2015-16,2.63,0,more_selective,psychology,none,art,social sciences,none,humanities,other,297,299,285,330,-0.480606881,71,17,August,0,0,1
8191,2015-16,3.13,0,least_selective,other,none,none,other,none,none,other us university,41,51,57,92,0.003990761,21,21,August,21,0,1
8192,2015-16,4,0,unknown,other,other,none,other,other,none,other,287,268,33,258,0.356436801,72,11,August,0,0,0
8193,2015-16,3.54,0,more_selective,history,other,none,humanities,other,none,school 663,294,287,267,343,-0.012660459,22,22,October,-1,1,1
8194,2015-16,3.46,0,more_selective,other,none,none,other,none,none,other,178,295,134,245,0.51441811,93,38,September,38,0,1
8195,2015-16,3.14,1,more_selective,other,none,none,other,none,none,other,175,177,127,252,0.097054853,135,44,October,22,0,1
8196,2015-16,3.4,0,less_selective,psychology,none,none,social sciences,none,none,other,30,33,36,77,-0.021918821,72,21,August,21,0,1
8197,2015-16,3.08,0,selective,communications,none,none,business,none,none,other,216,239,235,354,0.356010476,92,42,September,0,0,1
8198,2015-16,3.15,0,more_selective,communications,none,other,business,none,other,school 401,278,287,254,374,0.234962546,26,26,October,25,0,0
8200,2015-16,2.8,0,more_selective,other,none,none,other,none,none,other,289,15,22,172,0.513212138,10,10,August,10,0,1
8201,2015-16,3.03,0,less_selective,criminal justice,none,other,social sciences,none,other,other,236,291,296,338,0.071664998,71,18,August,0,0,1
8202,2015-16,3.22,1,selective,other,none,none,other,none,none,other,266,131,80,230,-0.081548523,71,19,August,0,0,1
8203,2015-16,3.4,1,unknown,education (secondary),biology,none,education,stem,none,other,178,295,226,342,0.054206294,92,37,September,7,0,0
8204,2015-16,3.46,0,more_selective,education (secondary),none,none,education,none,none,other,281,262,293,333,0.365274462,45,21,August,0,0,0
8205,2015-16,3.21594481,1,unknown,other,none,mathematics,other,none,stem,foreign university,19,86,68,109,0.111533394,21,21,August,21,0,1
8207,2015-16,2.84,0,selective,business,none,none,business,none,none,other,204,246,159,292,0.175113392,92,23,September,10,0,1
8208,2015-16,3.44,0,unknown,education (elementary),none,english,education,none,humanities,other,221,240,228,302,0.180252354,71,21,August,20,0,1
8209,2015-16,2.83,0,unknown,other,none,none,other,none,none,other,289,284,224,351,-0.420541536,71,18,August,17,0,1
8212,2015-16,2.72,0,more_selective,english,none,other,humanities,none,other,other,292,220,282,356,-0.243830444,50,50,October,-1,1,0
8213,2015-16,3.12,0,less_selective,education (elementary),none,none,education,none,none,other,153,137,53,170,0.073720268,91,3,September,2,0,1
8214,2015-16,2.51,0,selective,other,none,none,other,none,none,other,276,228,81,273,0.41308126,91,24,September,1,0,1
8215,2015-16,3.25,0,more_selective,economics,political science,none,social sciences,social sciences,none,other,278,84,79,229,-0.183696991,17,17,October,0,1,0
8216,2015-16,3.63,0,unknown,english literature,none,none,humanities,none,none,other,246,283,290,385,0.128213567,91,38,September,2,0,1
8218,2015-16,3.09,0,most_selective,psychology,none,other,social sciences,none,other,other,228,289,99,284,0.019736716,70,18,August,2,0,1
8219,2015-16,3.01,0,less_selective,other,none,none,other,none,none,other,266,284,289,343,0.268659337,4,4,October,0,0,1
8221,2015-16,2.96,0,more_selective,other,other,none,other,other,none,other,100,276,70,238,-0.1548498,39,39,October,0,1,1
8222,2015-16,3.49,0,unknown,other,education (secondary),none,other,education,none,other,125,86,47,155,0.061974342,70,16,August,16,0,0
8223,2015-16,2.75,0,selective,other,none,none,other,none,none,other,55,66,32,93,0.633944964,70,1,August,1,0,1
8225,2015-16,3.7,0,selective,other,none,none,other,none,none,other,157,83,135,204,0.186622272,133,0,October,0,0,1
8226,2015-16,3.21594481,0,selective,communications,none,none,business,none,none,other,30,40,63,76,0.205352989,133,0,October,0,0,1
8229,2015-16,3.2,0,more_selective,other,none,none,other,none,none,other,119,68,40,141,0.895622923,70,21,August,0,0,1
8231,2015-16,3.13,0,least_selective,history,none,other,humanities,none,other,other,292,294,296,355,-0.195417475,1,1,October,0,0,1
8232,2015-16,3.73,0,most_selective,history,none,spanish,humanities,none,humanities,other,270,245,272,341,0.201985584,65,65,October,2,1,1
8233,2015-16,3.56,0,more_selective,other,none,none,other,none,none,other,296,294,265,403,0.001523328,133,15,October,0,0,0
8234,2015-16,3.27,0,selective,sociology,psychology,none,social sciences,social sciences,none,other,234,251,199,289,-0.148501184,38,38,October,1,0,1
8235,2015-16,3.54,0,most_selective,political science,none,none,social sciences,none,none,school 488,296,224,273,298,0.195914248,2,2,September,1,0,1
8236,2015-16,3.24,0,more_selective,other,none,none,other,none,none,other,295,269,282,359,0.059277421,70,8,August,1,0,1
8238,2015-16,4,0,selective,psychology,none,communications,social sciences,none,business,school 851,236,291,232,348,0.166014277,131,83,October,73,0,1
8239,2015-16,2.62,1,unknown,biology,none,none,stem,none,none,other,201,177,144,245,0.719851605,69,12,August,9,0,0
8240,2015-16,3.71,0,more_selective,marketing,none,none,business,none,none,other,297,160,233,301,0.281064129,132,16,October,15,0,1
8241,2015-16,3.72,0,unknown,other,none,none,other,none,none,other,237,81,174,254,-0.076462934,67,20,August,20,0,1
8243,2015-16,3.05,0,more_selective,other,none,none,other,none,none,other,285,290,284,344,0.366367211,5,5,October,1,0,1
8244,2015-16,3.7,1,most_selective,anthropology,none,other,social sciences,none,other,other,293,291,295,397,0.061519499,4,4,October,1,0,0
8248,2015-16,3.77,0,less_selective,psychology,none,sociology,social sciences,none,social sciences,other,269,240,216,332,0.388027252,65,65,October,0,0,0
8249,2015-16,2.78,0,unknown,education (general),none,other,education,none,other,other,294,293,296,370,-0.48568094,68,21,August,20,0,1
8251,2015-16,3.23,0,more_selective,communications,none,other,business,none,other,other,292,286,240,378,0.042895374,131,84,October,1,0,1
8252,2015-16,3,0,less_selective,other,none,none,other,none,none,other,211,298,84,255,0.473492256,69,21,August,15,0,1
8253,2015-16,2.8,0,unknown,economics,none,marketing,social sciences,none,business,other,301,276,300,425,-0.111780687,68,17,August,17,0,1
8254,2015-16,2.59,0,more_selective,sociology,none,none,social sciences,none,none,other,105,100,15,130,0.102739561,130,84,October,84,0,1
8257,2015-16,3.3,0,more_selective,other,none,none,other,none,none,other,296,272,124,323,-0.062111461,131,11,October,-1,0,1
8258,2015-16,3.15,0,more_selective,spanish,none,business,humanities,none,business,other,289,281,295,348,0.43208379,90,42,September,0,0,1
8261,2015-16,3.53,0,less_selective,history,none,none,humanities,none,none,other,289,296,212,394,0.383828277,69,20,August,12,0,0
8262,2015-16,3.23,0,selective,international studies/relations,anthropology,sociology,social sciences,social sciences,social sciences,other,297,256,260,386,0.01221373,68,20,August,1,0,1
8263,2015-16,3.17,0,most_selective,philosophy,none,none,humanities,none,none,school 155,265,280,294,408,0.280328089,88,21,September,3,1,1
8264,2015-16,3.03,0,less_selective,business,none,none,business,none,none,other,297,211,88,289,0.014797125,88,35,September,2,0,1
8267,2015-16,2.7,1,more_selective,sociology,none,other,social sciences,none,other,school 1533,80,42,83,110,-0.287131445,68,18,August,18,0,0
8270,2015-16,3.13,0,unknown,education (secondary),none,none,education,none,none,other,278,294,296,365,0.553998616,67,18,August,8,0,1
8271,2015-16,2.95,0,less_selective,communications,none,sociology,business,none,social sciences,other,216,115,20,165,0.800372353,70,21,August,2,0,1
8273,2015-16,3.71,0,selective,other,none,none,other,none,none,other,257,142,160,301,-0.083096278,6,6,October,4,0,1
8274,2015-16,3.64,0,most_selective,communications,none,other,business,none,other,other,264,280,272,405,-0.156193052,0,0,October,0,0,0
8275,2015-16,3.6,0,selective,education early childhood,none,none,education,none,none,other,207,285,175,299,0.335370631,131,74,October,1,0,1
8277,2015-16,2.94,1,more_selective,other,none,none,other,none,none,other,287,289,286,423,0.078602581,2,2,September,0,0,1
8278,2015-16,3.68,0,most_selective,other,other,none,other,other,none,other,267,190,297,330,-0.001972742,132,65,October,5,0,0
8280,2015-16,2.79,0,least_selective,other,none,none,other,none,none,other,111,182,111,217,-0.250602574,67,18,August,4,0,1
8281,2015-16,2.9,0,selective,other,none,none,other,none,none,other,15,15,13,34,-0.309377938,21,21,August,21,0,1
8282,2015-16,3.84,0,unknown,education (secondary),none,none,education,none,none,other,71,116,120,155,0.328210359,67,8,August,8,0,1
8284,2015-16,3.16,0,more_selective,psychology,none,none,social sciences,none,none,other,210,180,43,240,0.287629575,67,21,August,0,0,1
8286,2015-16,3,0,less_selective,history,none,communications,humanities,none,business,other,73,59,45,115,0.075002703,67,21,August,21,0,1
8288,2015-16,3.42,0,selective,communications,none,none,business,none,none,other,246,246,223,250,0.277683776,88,42,September,2,0,1
8289,2015-16,3.55,0,more_selective,psychology,none,other,social sciences,none,other,other,281,280,298,341,0.112382688,130,84,October,0,0,1
8290,2015-16,3.21594481,0,selective,communications,none,journalism,business,none,business,other,290,293,193,238,1.108464598,11,11,August,11,0,1
8294,2015-16,2.65,0,least_selective,other,none,none,other,none,none,other,284,274,119,284,5.67E-05,66,21,August,13,0,0
8295,2015-16,3.13,0,more_selective,psychology,none,other,social sciences,none,other,other,286,255,262,362,0.427402272,87,42,September,0,0,0
8296,2015-16,2.51,1,more_selective,other,none,none,other,none,none,other,125,110,98,175,-0.351117919,66,18,August,17,0,1
8297,2015-16,2.68,1,selective,other,none,none,other,none,none,other,15,38,32,66,0.372647162,66,17,August,17,0,1
8298,2015-16,3.62,1,more_selective,other,none,none,other,none,none,other,278,296,281,377,0.246747149,129,10,October,3,0,0
8300,2015-16,3.86,0,least_selective,other,none,none,other,none,none,other,32,110,122,153,0.149952517,129,83,October,25,0,1
8303,2015-16,3,0,more_selective,other,none,none,other,none,none,other,291,165,131,262,-0.217135761,8,8,October,0,1,1
8305,2015-16,3.4,1,more_selective,other,none,none,other,none,none,other,195,258,158,283,0.197497653,9,9,September,0,0,0
8306,2015-16,3.21594481,0,unknown,political science,none,economics,social sciences,none,social sciences,foreign university,286,289,288,403,0.039589014,66,21,August,0,0,1
8307,2015-16,3.89,0,unknown,business,business,none,business,business,none,other,219,42,22,162,0.045779382,66,21,August,21,0,1
8308,2015-16,3.26,0,selective,other,none,other,other,none,other,other,243,216,201,305,0.27095135,5,5,October,0,1,0
8309,2015-16,2.78,0,more_selective,other,education (general),other,other,education,other,other,291,216,293,303,-0.173708841,7,7,September,1,0,0
8311,2015-16,3.49,0,more_selective,journalism,none,none,business,none,none,other,208,194,208,271,0.049248381,32,32,October,2,0,0
8313,2015-16,3.49,0,unknown,management,communications,none,business,business,none,other,300,173,44,280,0.669744712,87,38,September,36,0,1
8314,2015-16,3.02,0,selective,english,history,other,humanities,humanities,other,other,87,285,150,260,-0.037988889,87,29,September,1,0,1
8315,2015-16,3.61,0,more_selective,other,spanish,marketing,other,humanities,business,other,244,237,177,299,0.19914236,42,42,October,0,0,0
8317,2015-16,3.21594481,0,unknown,other,none,none,other,none,none,foreign university,46,111,115,140,0.233548877,66,21,August,21,0,1
8318,2015-16,3.49,0,more_selective,other,none,none,other,none,none,other,298,175,253,285,0.554666842,36,36,October,2,0,1
8320,2015-16,3.22,0,more_selective,other,none,none,other,none,none,other,290,289,286,328,0.243643347,8,8,September,2,1,1
8322,2015-16,2.78,0,more_selective,political science,none,history,social sciences,none,humanities,other,295,248,179,319,-0.293475784,2,2,September,0,0,1
8324,2015-16,3.19,0,more_selective,economics,none,none,social sciences,none,none,other,279,186,189,294,-0.087378206,19,19,October,10,0,1
8326,2015-16,3.95,0,more_selective,education (elementary),none,none,education,none,none,other,89,229,109,215,0.257871646,66,21,August,21,0,1
8327,2015-16,3.48,0,more_selective,spanish,economics,none,humanities,social sciences,none,other,295,294,232,388,0.861826312,51,51,October,0,0,1
8328,2015-16,2.96,0,more_selective,political science,sociology,philosophy,social sciences,social sciences,humanities,other,294,253,226,353,-0.255635073,8,8,October,2,0,1
8329,2015-16,3.28,0,selective,other,none,other,other,none,other,other,294,296,296,345,-0.216627195,66,19,August,5,0,1
8330,2015-16,2.77,0,more_selective,english literature,none,none,humanities,none,none,other,286,159,153,241,0.398907561,50,50,October,21,0,1
8331,2015-16,2.53,0,more_selective,other,none,sociology,other,none,social sciences,other,118,72,44,129,-0.240342738,5,5,October,5,1,1
8332,2015-16,3.06,0,less_selective,marketing,none,none,business,none,none,other,107,85,76,160,0.118870373,87,42,September,21,0,1
8333,2015-16,3.18,0,most_selective,english,none,philosophy,humanities,none,humanities,other,288,297,236,366,-0.084762067,129,71,October,0,0,1
8339,2015-16,3,1,least_selective,other,education (secondary),education (general),other,education,education,other us university,26,17,17,39,0.677614739,65,20,August,16,0,0
8340,2015-16,3.5,0,unknown,other,none,none,other,none,none,other,56,42,65,115,0.404661176,86,7,September,7,0,1
8341,2015-16,3.65,0,selective,education (elementary),none,none,education,none,none,other,295,294,284,341,0.147973263,65,8,August,7,1,1
8342,2015-16,3.06,0,selective,education (secondary),none,none,education,none,none,other,148,212,132,212,-0.0510182,65,8,August,8,0,0
8344,2015-16,3,0,unknown,other,none,none,other,none,none,other,296,270,295,310,0.42413412,65,6,August,5,0,0
8345,2015-16,3.37,0,less_selective,anthropology,other,none,social sciences,other,none,other,74,65,129,147,0.016935589,1,1,September,1,1,1
8346,2015-16,2.98,0,less_selective,history,none,none,humanities,none,none,other,274,218,295,339,-0.113221631,2,2,October,0,0,1
8347,2015-16,2.88,0,less_selective,other,none,none,other,none,none,other,201,289,175,319,-0.051647137,3,3,October,1,0,1
8348,2015-16,2.74,0,more_selective,psychology,none,none,social sciences,none,none,other,176,145,247,241,0.291949904,86,4,September,0,0,1
8349,2015-16,3.27,0,less_selective,psychology,none,sociology,social sciences,none,social sciences,other,63,40,88,121,0.093315346,9,9,October,9,0,1
8350,2015-16,3.38,1,most_selective,biology,other,other,stem,other,other,other,191,278,294,438,-0.628247333,2,2,October,2,0,1
8352,2015-16,3.02,0,less_selective,psychology,none,communications,social sciences,none,business,other,190,292,294,354,0.204945915,10,10,October,-1,0,1
8353,2015-16,2.58,1,less_selective,mathematics,none,none,stem,none,none,other,290,279,286,408,-0.406316399,41,41,September,1,0,1
8355,2015-16,2.57,0,unknown,psychology,none,none,social sciences,none,none,other,278,259,238,376,0.073663268,65,10,August,0,1,1
8356,2015-16,2.7,1,less_selective,other,none,none,other,none,none,other,60,113,90,141,-0.077697044,45,45,October,38,0,1
8357,2015-16,3.58,0,less_selective,art,none,other,humanities,none,other,other,290,294,289,410,0.336124239,14,14,August,2,0,1
8358,2015-16,3.18,0,less_selective,communications,none,none,business,none,none,other,292,290,286,393,0.240701475,3,3,October,0,0,1
8359,2015-16,3.32,0,unknown,management,none,none,business,none,none,other,57,72,33,108,-0.638754569,43,21,August,21,0,1
8360,2015-16,3.27,0,less_selective,psychology,none,none,social sciences,none,none,other,256,286,157,301,0.383464731,44,44,October,16,0,1
8362,2015-16,3.27,0,less_selective,psychology,none,none,social sciences,none,none,other,30,67,98,125,0.668713894,7,7,September,7,0,1
8363,2015-16,3.55,0,most_selective,art,none,none,humanities,none,none,other,296,258,292,356,0.072036446,3,3,October,0,0,1
8364,2015-16,3,0,least_selective,other,none,none,other,none,none,school 526,117,94,50,151,-0.051949003,86,2,September,2,0,0
8365,2015-16,3.12,0,selective,history,education (secondary),none,humanities,education,none,other,297,286,217,336,-0.500985521,86,8,September,0,0,1
8367,2015-16,3.28,0,less_selective,criminal justice,none,none,social sciences,none,none,other,63,39,43,102,-0.254804622,128,83,October,0,0,1
8368,2015-16,3.53,0,unknown,other,none,other,other,none,other,other,275,288,279,411,0.020888358,65,18,August,10,0,1
8369,2015-16,2.8,0,more_selective,other,none,none,other,none,none,other,264,231,227,315,-0.013373499,65,21,August,-1,0,0
8370,2015-16,3.39,1,more_selective,other,none,none,other,none,none,school 938,292,292,245,369,-0.140642998,86,32,September,0,0,1
8371,2015-16,2.66,0,more_selective,other,history,none,other,humanities,none,other,87,121,50,123,0.564860283,65,2,August,2,0,1
8372,2015-16,3.17,0,selective,criminal justice,none,none,social sciences,none,none,other,269,291,218,341,-0.044914593,65,19,August,-1,0,1
8373,2015-16,2.03,0,selective,business,none,none,business,none,none,other,297,34,21,182,-0.452031802,65,21,August,1,0,1
8374,2015-16,3.33,0,less_selective,business,none,none,business,none,none,other,274,250,234,333,0.185376033,86,34,September,1,0,1
8375,2015-16,2.97,0,more_selective,political science,economics,anthropology,social sciences,social sciences,social sciences,other,299,290,286,357,0.34201104,9,9,September,0,0,1
8378,2015-16,2.93,1,more_selective,mathematics,economics,none,stem,social sciences,none,other,298,291,290,366,-0.138859194,0,0,October,0,0,1
8379,2015-16,3.3,0,more_selective,international studies/relations,none,history,social sciences,none,humanities,other,106,116,133,209,0.167996407,85,40,September,10,0,1
8382,2015-16,4,0,less_selective,history,none,political science,humanities,none,social sciences,other,15,14,34,48,-0.107827713,64,8,August,8,0,0
8383,2015-16,3.51,0,selective,communications,none,marketing,business,none,business,other,178,215,119,228,0.141224623,22,22,October,22,1,1
8384,2015-16,2.89,0,less_selective,management,none,none,business,none,none,other,225,279,258,347,0.371963087,64,19,August,1,0,1
8386,2015-16,3.66,1,unknown,mathematics,other,none,stem,other,none,other,227,290,299,347,0.495376507,127,1,October,-1,0,1
8388,2015-16,3,1,selective,mathematics,none,none,stem,none,none,other,40,32,61,87,0.271683789,64,4,August,4,0,1
8390,2015-16,3.36,0,more_selective,communications,none,other,business,none,other,school 1096,291,266,216,350,0.153817148,85,17,September,17,0,0
8392,2015-16,2.91,0,most_selective,english,none,none,humanities,none,none,school 60,212,225,191,259,0.125695583,85,29,September,-1,0,1
8393,2015-16,3.23,0,most_selective,sociology,none,none,social sciences,none,none,other,291,259,177,349,0.175460459,30,30,October,0,0,1
8394,2015-16,3.64,0,most_selective,history,none,none,humanities,none,none,school 670,296,282,295,433,0.217027341,5,5,September,0,0,1
8395,2015-16,2.35,0,more_selective,sociology,none,other,social sciences,none,other,other,186,294,202,343,0.339292159,64,21,August,1,0,1
8397,2015-16,3.19,0,more_selective,other,marketing,none,other,business,none,other,261,206,103,300,0.127549622,64,18,August,0,0,1
8398,2015-16,3.34,1,less_selective,other,none,none,other,none,none,other,287,240,298,328,0.190981903,85,21,September,3,0,1
8399,2015-16,3.76,0,unknown,management,other,none,business,other,none,other,289,275,298,371,0.209331361,64,20,August,11,1,1
8402,2015-16,2.7,0,less_selective,other,none,none,other,none,none,other,76,126,133,192,0.341882706,85,37,September,22,0,1
8403,2015-16,3.34,0,less_selective,other,none,marketing,other,none,business,other,161,207,76,223,0.635770371,64,18,August,0,0,1
8404,2015-16,3.3,0,least_selective,other,none,none,other,none,none,other,289,296,291,326,0.511860507,64,21,August,13,0,1
8405,2015-16,3.63,0,most_selective,political science,none,other,social sciences,none,other,other,254,293,297,376,0.324206815,29,29,October,0,0,1
8406,2015-16,3.23,1,less_selective,biology,none,chemistry,stem,none,stem,other,235,299,246,325,-0.273224709,64,21,August,13,0,0
8407,2015-16,3.93,0,unknown,other,none,none,other,none,none,other,152,85,105,178,-0.05150629,127,78,October,53,0,0
8410,2015-16,2.99,0,selective,other,none,none,other,none,none,school 1653,288,296,185,370,-0.372734937,30,9,August,9,0,1
8411,2015-16,3,0,more_selective,other,none,none,other,none,none,other,108,169,99,196,0.243790336,85,22,September,21,0,1
8412,2015-16,3.14,1,more_selective,mathematics,none,other,stem,none,other,school 1673,141,180,88,214,0.273567304,22,22,September,4,0,1
8413,2015-16,2.94,0,less_selective,other,none,none,other,none,none,other,298,293,296,312,0.650182637,64,21,August,12,0,1
8415,2015-16,2.97,1,unknown,biology,none,psychology,stem,none,social sciences,other,198,242,146,308,0.095143097,64,21,August,7,0,0
8416,2015-16,3.39,0,selective,english,none,none,humanities,none,none,other,275,109,104,241,-0.537096905,64,19,August,19,0,0
8417,2015-16,2.96,0,selective,other,none,none,other,none,none,other,281,296,137,289,-0.028730646,63,21,August,21,0,1
8418,2015-16,2.44,0,unknown,other,none,none,other,none,none,other,67,58,106,138,0.234665191,63,2,August,-1,0,1
8419,2015-16,3.3,0,less_selective,psychology,none,none,social sciences,none,none,other,35,32,21,66,0.441204114,63,2,August,2,0,1
8421,2015-16,2.6,0,selective,other,none,none,other,none,none,school 851,18,4,4,24,-0.173709434,7,7,August,7,0,1
8423,2015-16,3.2,0,least_selective,business,none,none,business,none,none,other us university,40,32,23,69,0.97631162,63,21,August,3,0,1
8424,2015-16,3.17,0,more_selective,other,none,none,other,none,none,other,234,297,205,333,-0.416044941,63,8,August,0,0,1
8425,2015-16,3.65,0,least_selective,psychology,none,none,social sciences,none,none,other us university,51,103,170,174,-0.400617428,31,21,August,21,0,0
8426,2015-16,3.86,0,more_selective,other,none,spanish,other,none,humanities,other,290,281,257,398,0.217794218,85,84,October,0,0,0
8427,2015-16,3.6,0,selective,education early childhood,none,none,education,none,none,other,294,261,295,356,0.284317679,63,21,August,0,0,1
8429,2015-16,3.3,0,least_selective,other,none,none,other,none,none,other,94,130,37,151,-0.368142975,84,2,September,2,0,0
8431,2015-16,2.95,0,unknown,education (secondary),english,none,education,humanities,none,other,199,209,86,234,0.240855012,62,20,August,18,0,1
8432,2015-16,3.28,0,less_selective,psychology,none,communications,social sciences,none,business,other,297,255,217,340,-0.150440142,64,64,October,0,0,1
8434,2015-16,3.52,0,unknown,education (elementary),other,none,education,other,none,other,268,214,176,303,-0.083235324,62,20,August,20,0,0
8435,2015-16,3.2,0,least_selective,communications,none,none,business,none,none,other,67,52,62,119,0.154359914,62,18,August,17,0,1
8438,2015-16,2.92,1,more_selective,mathematics,none,chemistry,stem,none,stem,other,252,262,260,366,-0.52783692,83,33,September,8,0,1
8439,2015-16,2.83,1,more_selective,other,none,none,other,none,none,other,166,154,147,231,-0.073891216,125,82,October,0,0,1
8440,2015-16,2.88,0,selective,sociology,none,none,social sciences,none,none,school 851,190,294,140,311,-0.036536447,62,20,August,19,0,1
8442,2015-16,3.05,0,selective,other,other,none,other,other,none,other,44,21,23,66,0.080766102,62,21,August,11,0,1
8443,2015-16,3.5,0,selective,english,none,other,humanities,none,other,other,285,291,197,383,-0.043791394,62,8,August,6,0,0
8444,2015-16,3.47,0,less_selective,education (elementary),none,none,education,none,none,other,287,290,270,355,-0.162723576,125,10,October,0,0,1
8445,2015-16,3.05,0,less_selective,english,none,none,humanities,none,none,other,252,205,193,281,-0.233178612,62,21,August,18,0,1
8446,2015-16,3.22,0,selective,other,none,psychology,other,none,social sciences,other,201,170,107,228,0.374868695,62,13,August,1,0,1
8447,2015-16,3.2,0,more_selective,other,none,other,other,none,other,school 663,242,180,295,348,-0.421261279,62,21,August,0,0,1
